,Date,return,RiskFreeRate,spread,SMB,RMW,CMA,HML,DJI_Open,DJI_High,DJI_Low,DJI_Close,DJI_Adj Close,DJI_Volume,DJI_Return,GSPC_Open,GSPC_High,GSPC_Low,GSPC_Close,GSPC_Adj Close,GSPC_Volume,GSPC_Return,IXIC_Open,IXIC_High,IXIC_Low,IXIC_Close,IXIC_Adj Close,IXIC_Volume,IXIC_Return,SOX_Open,SOX_High,SOX_Low,SOX_Close,SOX_Adj Close,SOX_Volume,SOX_Return,新台幣NTD/USD,台灣VIX波動度,Gold_Price,Gold_Open,Gold_High,Gold_Low,Gold_Vol.,Gold_Change %,Oil_Price,Oil_Open,Oil_High,Oil_Low,Oil_Vol.,Oil_Change %,WS_當天盤中分數,WS_當天盤中分數_norm,WS_當天盤後分數,WS_當天盤後分數_norm,Jeiba_當天盤中分數,Jeiba_當天盤中分數_norm,Jeiba_當天盤後分數,Jeiba_當天盤後分數_norm
0,2023-10-27,0.003787,1.0045667147018378e-06,0.0037859954332852,-0.0022273107996227,-0.003818874163832,-0.0044799503513742,-0.3135806348135779,32782.4,32787.56,32327.2,32417.59,32417.59,376970000.0,-1.118553698,4152.93,4156.7,4103.78,4117.37,4117.37,4019500000.0,-0.4800313253,12718.69043,12772.429688,12600.570313,12643.009766,12643.009766,4172100000.0,0.3763169285,3238.080078,3258.419922,3213.050049,3227.090088,3227.090088,0.0,1.212831652,32.425,16.36,"1,989.00","1,987.50","2,009.80","1,978.50",0.37K,0.06%,85.54,83.53,85.9,83.1,333.76K,2.80%,-47.10791419679884,0.484377374304879,-57.87821032445126,0.19284401156823752,-77.44640629924358,0.45751006042020126,-88.59723856656613,0.16980569475338103
1,2023-10-26,-0.017431,1.0045667147018378e-06,-0.0174320045667147,0.0079271551169832,0.0080728371228936,0.0005476665977026,1.758858704336182,33017.17,33105.03,32743.99,32784.3,32784.3,379880000.0,-0.7616858372,4175.99,4183.6,4127.9,4137.23,4137.23,4277640000.0,-1.18325105,12768.969727,12818.139648,12543.860352,12595.610352,12595.610352,4894900000.0,-1.7596561,3217.620117,3254.320068,3173.550049,3188.419922,3188.419922,0.0,-0.5433884886,32.43,16.97,"1,987.90","1,981.60","1,992.50","1,974.40",0.20K,0.12%,83.21,85.37,85.59,82.56,341.79K,-2.55%,-51.73632087573799,0.43339186371076854,-58.071985474078055,0.1901208450252753,-81.33784220496281,0.42998201349515747,-97.19043334905342,0.08684115974887122
2,2023-10-25,0.003012,1.0045667147018378e-06,0.0030109954332852,-0.0067340319571288,0.0049155796101406,-0.0032766829067716,-0.2949532597523919,33203.53,33267.91,32989.72,33035.93,33035.93,355690000.0,-0.3181822845,4232.42,4232.42,4181.42,4186.77,4186.77,3869370000.0,-1.433959244,13039.860352,13042.519531,12804.299805,12821.219727,12821.219727,4599850000.0,-2.42506499,3305.399902,3309.320068,3190.76001,3205.840088,3205.840088,0.0,-4.129854466,32.341,16.39,"1,985.50","1,972.00","1,988.80","1,971.00",0.16K,0.44%,85.39,83.69,85.56,82.08,429.46K,1.97%,-52.12088474435215,0.4291555926660138,-53.05524474174942,0.26062225113077797,-84.88792471313869,0.404868703076961,-87.13394014582663,0.18393337091136835
3,2023-10-24,0.003594,1.0045667147018378e-06,0.0035929954332852,-0.0145678234395269,-0.0094670628167576,-0.0067127531720273,-0.3439200595830764,33089.64,33272.19,32988.43,33141.38,33141.38,359230000.0,0.6223204047,4235.79,4259.38,4219.43,4247.68,4247.68,3821820000.0,0.7265759869,13084.990234,13170.389648,13022.849609,13139.870117,13139.870117,4604720000.0,0.9336069855,3316.379883,3349.129883,3303.469971,3343.939941,3343.939941,0.0,1.376363526,32.316,16.62,"1,976.80","1,975.10","1,980.30","1,958.30",1.23K,-0.07%,83.74,86.15,86.3,82.94,370.59K,-2.05%,-51.155580771217146,0.43978916904830617,-58.51250004274278,0.18393019293502738,-79.0659196013011,0.44605361111590974,-91.04708944272664,0.1461531715747761
4,2023-10-23,-0.0115179999999999,1.0045667147018378e-06,-0.0115190045667147,-0.0011461129465738,0.0073057982547582,-0.0041451833428003,1.1766622749795348,32993.02,33234.85,32892.19,32936.41,32936.41,342500000.0,-0.5761716628,4210.4,4255.84,4189.22,4217.04,4217.04,3776100000.0,-0.1685542214,12930.849609,13143.219727,12848.830078,13018.330078,13018.330078,4669060000.0,0.2658734928,3300.370117,3356.949951,3264.76001,3298.540039,3298.540039,0.0,-0.5307331587,32.348,17.14,"1,978.20","1,977.90","1,983.10","1,963.60",0.45K,-0.81%,85.49,88.0,88.29,85.35,315.52K,-3.67%,-51.46267268106275,0.43640631207205033,-50.71904045974014,0.2934534647850858,-82.98140599523833,0.4183554308559542,-86.69403694007451,0.1881804950411037
5,2023-10-20,-0.00073,1.0045667147018378e-06,-0.0007310045667147,-0.0006828185653368,0.0043912998339735,0.0067423686813543,-0.1110645080476973,33365.27,33425.77,33118.12,33127.28,33127.28,325530000.0,-0.8585878386,4273.85,4276.56,4223.03,4224.16,4224.16,4004030000.0,-1.258532024,13157.769531,13177.349609,12977.429688,12983.80957,12983.80957,4622840000.0,-1.53471379,3364.320068,3390.97998,3312.25,3316.139893,3316.139893,0.0,-1.533065699,32.32,16.5,"1,994.40","1,988.00","2,009.20","1,983.70",,0.70%,88.75,90.28,90.78,88.33,27.31K,-0.69%,-35.778963495162785,0.6091746049904959,-53.29099488885865,0.25730920033792487,-65.84105952002714,0.5396063710006089,-87.40092044157107,0.18135576192513364
6,2023-10-19,0.000719,1.0045667147018378e-06,0.0007179954332852,-0.0034524823219803,-0.0012996998216438,-0.0039476108481061,-0.2121925233749477,33669.52,33852.39,33368.58,33414.17,33414.17,304320000.0,-0.7453123533,4321.36,4339.54,4269.69,4278.0,4278.0,3969730000.0,-0.8482825754,13354.799805,13404.730469,13157.330078,13186.179688,13186.179688,5014790000.0,-0.9622745385,3444.679932,3449.030029,3356.360107,3367.77002,3367.77002,0.0,-1.338233507,32.323,16.03,"1,980.50","1,960.10","1,990.20","1,957.00",264.82K,0.62%,89.37,88.24,90.68,86.6,72.06K,1.19%,-45.43496499555298,0.5028062149708594,-49.328500403154806,0.312995042567557,-74.64809339412454,0.47730534700062743,-84.2619832127057,0.21166119246557602
7,2023-10-18,-0.012116,1.0045667147018378e-06,-0.0121170045667147,0.0124779448608711,0.0062577656914841,0.0066658291438469,1.2604604724765782,33960.25,33991.51,33598.64,33665.08,33665.08,285410000.0,-0.9782146707,4357.35,4364.2,4303.84,4314.6,4314.6,3686030000.0,-1.339979877,13439.679688,13499.740234,13275.299805,13314.299805,13314.299805,4617140000.0,-1.621503242,3414.830078,3443.659912,3397.550049,3413.449951,3413.449951,0.0,-1.76161013,32.29,15.86,"1,968.30","1,936.70","1,975.80","1,935.90",270.05K,1.68%,88.32,87.81,89.88,87.2,92.80K,1.92%,-46.36532645268955,0.49255755766400816,-45.80759467471072,0.3624751368886773,-76.53468307570023,0.463959597374791,-78.63371040214726,0.26600035833181856
8,2023-10-17,-0.000582,1.0045667147018378e-06,-0.0005830045667147,0.0016164741006502,0.0046265748575205,0.0080273871544584,-0.0296288061812618,33869.84,34147.63,33854.7,33997.65,33997.65,281010000.0,0.03857636443,4345.23,4393.57,4337.54,4373.2,4373.2,3794850000.0,-0.00983165014,13419.870117,13602.25,13364.740234,13533.75,13533.75,4417640000.0,-0.2522886076,3429.73999,3500.179932,3393.48999,3474.659912,3474.659912,0.0,-0.7951468496,32.295,15.42,"1,935.70","1,933.30","1,944.50","1,924.60",165.06K,0.07%,86.66,87.06,87.75,85.6,197.12K,0.00%,-52.09459725366296,0.42944516988513004,-55.77010917027829,0.22246963974233697,-81.37504161669297,0.42971886457622327,-84.6612831035751,0.20780608029695105
9,2023-10-16,-0.0077659999999999,1.0045667147018378e-06,-0.0077670045667147,0.008601258669614,0.0051522582169878,0.0034867259657947,0.8553655309665502,33832.42,34088.98,33832.42,33984.54,33984.54,270060000.0,0.9333153947,4342.37,4383.33,4342.37,4373.63,4373.63,3409960000.0,1.059434629,13453.80957,13598.049805,13447.169922,13567.980469,13567.980469,4308690000.0,1.198979911,3462.01001,3512.98999,3459.679932,3502.51001,3502.51001,0.0,1.434708075,32.279,15.78,"1,934.30","1,941.30","1,943.00","1,921.20",182.82K,-0.37%,86.66,87.72,88.33,86.32,235.78K,-1.17%,-50.20588352485377,0.4502508251590341,-40.392218829233656,0.43857865350766173,-74.92751176546577,0.4753287393359102,-73.95358441425206,0.31118547122365725
10,2023-10-13,-0.002576,1.0045667147018378e-06,-0.0025770045667147,0.0075285728247554,-0.001386633423508,0.0016626749473177,0.1215895324037783,33733.34,33957.72,33551.58,33670.29,33670.29,306340000.0,0.11640997,4360.49,4377.1,4311.97,4327.78,4327.78,3566560000.0,-0.501884077,13613.589844,13619.540039,13361.849609,13407.230469,13407.230469,4251550000.0,-1.230194157,3556.429932,3557.22998,3446.76001,3452.969971,3452.969971,0.0,-2.695418017,32.219,14.63,"1,941.50","1,881.70","1,946.20","1,881.50",312.99K,3.11%,87.69,83.51,87.83,83.35,356.86K,5.77%,-56.27179014459713,0.38343013119730635,-60.42875184146174,0.15700066767746512,-83.0183513968057,0.4180940788068259,-83.21074715113647,0.22181053892352037
11,2023-10-12,0.00923,1.0045667147018378e-06,0.0092289954332852,-0.0148961104635003,-0.0053949904084342,-0.0059545838483018,-0.899173043410622,33845.65,33863.8,33455.6,33631.14,33631.14,289160000.0,-0.5139200358,4380.94,4385.85,4325.43,4349.61,4349.61,3713140000.0,-0.6246358766,13672.469727,13714.139648,13491.55957,13574.219727,13574.219727,4858620000.0,-0.6256366397,3549.949951,3596.780029,3515.5,3548.620117,3548.620117,0.0,0.3049903122,32.125,14.1,"1,883.00","1,888.10","1,898.30","1,880.60",163.48K,-0.23%,82.91,83.2,85.2,82.31,373.49K,-0.69%,-46.08133458299725,0.4956859496756101,-60.10823654143348,0.16150494257146206,-77.73211592734916,0.45548894835771864,-90.10730304173389,0.15522650736379193
12,2023-10-11,0.0091679999999999,1.0045667147018378e-06,0.0091669954332852,0.0234831395598945,0.0128732030026302,-0.0032857643373969,-0.9361759306174106,33822.2,33882.55,33612.25,33804.87,33804.87,256560000.0,0.1943430954,4366.59,4378.64,4345.34,4376.95,4376.95,3601660000.0,0.4293017365,13619.209961,13671.110352,13549.290039,13659.679688,13659.679688,4160440000.0,0.7140086082,3526.659912,3544.280029,3497.879883,3537.830078,3537.830078,0.0,0.7334708449,32.122,14.39,"1,887.30","1,873.70","1,890.90","1,871.70",169.96K,0.64%,83.49,85.96,86.51,83.11,425.40K,-2.88%,-54.09381599281109,0.40742221570770154,-47.06777649702944,0.3447655132181662,-77.57170207049231,0.45662371719009043,-70.97496393073142,0.3399430950906063
13,2023-10-06,0.004075,1.0045667147018378e-06,0.0040739954332852,-0.0068525983377731,-0.0043289132971952,-0.0024701616109974,-0.3565733884490196,33040.7,33557.69,32846.94,33407.58,33407.58,332990000.0,0.8696067008,4234.79,4324.1,4219.55,4308.5,4308.5,3902030000.0,1.181487909,13127.679688,13472.269531,13099.030273,13431.339844,13431.339844,4309420000.0,1.599943152,3392.77002,3491.98999,3365.899902,3475.209961,3475.209961,0.0,2.00265283,32.207,14.56,"1,845.20","1,834.30","1,849.00","1,823.50",231.02K,0.73%,82.79,82.28,83.28,81.5,461.14K,0.58%,-46.30139839669512,0.49326177507666474,-47.56214434236067,0.33781804870109494,-70.61007844357698,0.5058702951934866,-72.86742880197323,0.3216719547255672
