證券代碼	簡稱	年月日	收盤價(元)	流通在外股數(千股)
Y9998  	TEJ 大盤     	20180102	 10710.7300	   705692240
Y9998  	TEJ 大盤     	20180103	 10801.5700	   705692240
Y9998  	TEJ 大盤     	20180104	 10848.6300	   705692288
Y9998  	TEJ 大盤     	20180105	 10879.8000	   705692288
Y9998  	TEJ 大盤     	20180108	 10915.7500	   705683450
Y9998  	TEJ 大盤     	20180109	 10914.8900	   705683450
Y9998  	TEJ 大盤     	20180110	 10831.0900	   705683450
Y9998  	TEJ 大盤     	20180111	 10810.0600	   705488983
Y9998  	TEJ 大盤     	20180112	 10883.9600	   705485983
Y9998  	TEJ 大盤     	20180115	 10956.3100	   705485983
Y9998  	TEJ 大盤     	20180116	 10986.1100	   705485983
Y9998  	TEJ 大盤     	20180117	 11004.8000	   705485983
Y9998  	TEJ 大盤     	20180118	 11071.5700	   705483953
Y9998  	TEJ 大盤     	20180119	 11150.8500	   705483953
Y9998  	TEJ 大盤     	20180122	 11231.4600	   705484179
Y9998  	TEJ 大盤     	20180123	 11253.1100	   705484179
Y9998  	TEJ 大盤     	20180124	 11152.1600	   705484179
Y9998  	TEJ 大盤     	20180125	 11165.9500	   705484179
Y9998  	TEJ 大盤     	20180126	 11147.1000	   705484179
Y9998  	TEJ 大盤     	20180129	 11221.8100	   705484016
Y9998  	TEJ 大盤     	20180130	 11076.7800	   705490022
Y9998  	TEJ 大盤     	20180131	 11103.7900	   705616688
Y9998  	TEJ 大盤     	20180201	 11160.2500	   705824021
Y9998  	TEJ 大盤     	20180202	 11126.2300	   705824021
Y9998  	TEJ 大盤     	20180205	 10946.2500	   705900861
Y9998  	TEJ 大盤     	20180206	 10404.0000	   705906846
Y9998  	TEJ 大盤     	20180207	 10551.5400	   705906849
Y9998  	TEJ 大盤     	20180208	 10528.5200	   705907949
Y9998  	TEJ 大盤     	20180209	 10371.7500	   705780447
Y9998  	TEJ 大盤     	20180212	 10421.0900	   705780447
Y9998  	TEJ 大盤     	20180221	 10714.4400	   705780253
Y9998  	TEJ 大盤     	20180222	 10662.3800	   705780253
Y9998  	TEJ 大盤     	20180223	 10794.5500	   705780421
Y9998  	TEJ 大盤     	20180226	 10836.7000	   705780421
Y9998  	TEJ 大盤     	20180227	 10815.4700	   706062172
Y9998  	TEJ 大盤     	20180301	 10785.7900	   706519207
Y9998  	TEJ 大盤     	20180302	 10698.1700	   706520584
Y9998  	TEJ 大盤     	20180305	 10642.9000	   706520604
Y9998  	TEJ 大盤     	20180306	 10784.3400	   706519515
Y9998  	TEJ 大盤     	20180307	 10745.3200	   706517755
Y9998  	TEJ 大盤     	20180308	 10823.2400	   706448790
Y9998  	TEJ 大盤     	20180309	 10864.8200	   706449090
Y9998  	TEJ 大盤     	20180312	 11002.1000	   706448671
Y9998  	TEJ 大盤     	20180313	 11095.6300	   706448671
Y9998  	TEJ 大盤     	20180314	 11038.8000	   706548656
Y9998  	TEJ 大盤     	20180315	 11018.4500	   706526262
Y9998  	TEJ 大盤     	20180316	 11027.7000	   706518679
