Date,sentiment_mean,sentiment_count,sentiment_mean_author,sentiment_mean_engagement
2018-03-27,-0.020408626381979437,1116,-0.019317759844594606,-0.020408626028633726
2018-03-28,-0.015550631540953848,1346,-0.016000662998668227,-0.015550631253532107
2018-03-29,-0.008568698754014883,964,-0.007996972495199251,-0.0085686985277643
2018-03-31,-0.013699234627886994,562,-0.013027416991358938,-0.01369923479794366
2018-04-02,-0.0021631166956690992,1341,-0.0014089984075915298,-0.0021631166121119376
2018-04-03,-0.0162678152691247,2695,-0.014354472383432291,-0.0162680470687857
2018-04-05,-0.01693206376530038,1332,-0.01704440729295554,-0.016932064381318442
2018-04-09,-0.017001492269817352,776,-0.01434715217513207,-0.017001492767370993
2018-04-10,-0.022722154373472997,2091,-0.02196691163147562,-0.022802562694879153
2018-04-11,-0.013570595770653044,1700,-0.013224263317131592,-0.013190605508363429
2018-04-12,-0.0173104607998112,1975,-0.015770380596155018,-0.01744005257684014
2018-04-13,-0.01659553936856027,2462,-0.01789694123525057,-0.01656960426818996
2018-04-16,-0.01605361045697307,1684,-0.015075568349374083,-0.01622183593351905
2018-04-17,-0.026753385204099076,2287,-0.02722744019967991,-0.026971555826359978
2018-04-18,-0.027617520459193152,1351,-0.028069546775518588,-0.027617521194513432
2018-04-19,-0.015266392475937864,1328,-0.015509535002301381,-0.015266392210867999
2018-04-20,-0.029079503082334642,1359,-0.027755185818498736,-0.029079502723015238
2018-04-23,-0.019010453753939133,1344,-0.01888832076466452,-0.019010453222229513
2018-04-24,-0.03059447232370659,1365,-0.03076674964245716,-0.030594470949174665
2018-04-25,-0.02133028103940858,2337,-0.020726185712211603,-0.021365954162417163
2018-04-26,-0.02328578805223274,2448,-0.02263378874343099,-0.023418594845412255
2018-04-27,-0.02481124716337953,2083,-0.023876315627096183,-0.02560415843446299
2018-04-30,-0.0118588546506862,2476,-0.010455806159481414,-0.011816547323282333
2018-05-02,-0.020418316742367784,1733,-0.019896615054250937,-0.020395053707425725
2018-05-03,-0.01699548651218171,2728,-0.017465685191276642,-0.01700477687852025
2018-05-04,-0.015932469663386364,2570,-0.014812806037896703,-0.01588515814986853
2018-05-07,-0.020370380221401786,1103,-0.020688805544786238,-0.020370379626462043
2018-05-08,-0.01847783245742811,1661,-0.01679351383503626,-0.018639963492707114
2018-05-09,-0.018260753662141523,1745,-0.018557994335310343,-0.01846771312428907
2018-05-10,-0.019039457667842576,1957,-0.019488557757235785,-0.019299176322761815
2018-05-11,-0.014610559066504221,2686,-0.014500787438741529,-0.014621592546129715
2018-05-14,-0.012772058974109948,1988,-0.012988942006177987,-0.012962901957519063
2018-05-15,-0.008606257582382457,2461,-0.014241345979687438,-0.008742681290403077
2018-05-16,-0.010553014049016441,1611,-0.012324910425443465,-0.011027448590420347
2018-05-17,-0.009086147110400268,2087,-0.010246128669561963,-0.009289936048931951
2018-05-18,-0.011703336636259108,2055,-0.012245888005032865,-0.012054053513917666
2018-05-21,-0.014954773487186589,1778,-0.016000981056421722,-0.015096577652594648
2018-05-22,-0.00992197561198772,1873,-0.010101617542261685,-0.010278731179334652
2018-05-23,-0.016171739903232205,2311,-0.019563428310079668,-0.016434854175169173
2018-05-24,-0.019984430881671726,1835,-0.02054526969616206,-0.020064815806438388
2018-05-25,-0.005310978018996491,1939,-0.007959252663976726,-0.005440106629824826
2018-05-28,-0.01182099865150726,1292,-0.0121104509333006,-0.012112323458339692
2018-05-29,-0.028491909299489485,2018,-0.029766249376164462,-0.028559164195655712
2018-05-30,-0.02428534966361383,1891,-0.024637308486856323,-0.024540956058499114
2018-05-31,-0.025689949188322955,1992,-0.0264069208069365,-0.02629056240991515
2018-06-01,-0.0064598114407362775,2159,-0.006437194242342099,-0.006557057488147912
2018-06-04,-0.01039237113521961,1831,-0.008707987597014162,-0.01081629994358649
2018-06-05,-0.0169853458431292,1688,-0.018840049510658173,-0.01763393919384744
2018-06-06,-0.009836980682213494,1972,-0.011764265370575013,-0.010165847318032523
2018-06-07,-0.015091338220756464,1970,-0.015554625024475714,-0.015449905195892268
2018-06-08,-0.01127464103076474,2681,-0.01060342836954925,-0.011295430950425876
2018-06-11,-0.011214568661858802,1314,-0.010302447991821562,-0.011719740691197465
2018-06-12,-0.018598324708712068,1881,-0.01718229439798892,-0.018867835606624982
2018-06-13,-0.01721346458662315,2025,-0.014935986758609235,-0.018020619994165307
2018-06-14,-0.023313917785727195,1878,-0.02303312317872485,-0.023269575274075135
2018-06-15,-0.02271472923805969,2662,-0.023457062021072138,-0.022724175162820028
2018-06-19,-0.026048550627031472,2175,-0.02451362128948597,-0.026112386866478942
2018-06-20,-0.03214167378854459,1704,-0.03049586018895356,-0.032366465552136625
2018-06-21,-0.022829474044830152,1760,-0.023014245259512418,-0.022767203199427932
2018-06-22,-0.013514077053798928,1950,-0.012472264018329867,-0.014382538506957298
2018-06-25,-0.02750722124866914,1841,-0.027742341999687198,-0.0274196137334079
2018-06-26,-0.033485712288296776,1725,-0.03219449959413298,-0.03403729580254626
2018-06-27,-0.029956144230259486,2059,-0.029657548239821946,-0.02997062767039464
2018-06-28,-0.02278443556195552,1706,-0.02433180631369552,-0.023030876279792396
2018-06-29,-0.022058365676702132,2248,-0.02332480873312236,-0.022427408225100788
